Idade,Genero,Estado,UF,Regiao,Nivel de Ensino,Area de Formacao,Cargo,Nivel,Faixa Salarial,Tempo de Experiencia,Forma de Trabalho
38.0,Masculino,Ceará,CE,Nordeste,Pós-graduação,Química / Física,,,de R$ 4.001/mês a R$ 6.000/mês,Mais de 10 anos,Modelo 100% presencial
39.0,Masculino,Bahia,BA,Nordeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,,de R$ 6.001/mês a R$ 8.000/mês,de 2 a 3 anos,Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)
30.0,Masculino,Santa Catarina,SC,Sul,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Modelo 100% presencial
38.0,Feminino,São Paulo,SP,Sudeste,Pós-graduação,Outras,,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Modelo 100% presencial
36.0,Masculino,Santa Catarina,SC,Sul,Pós-graduação,Outras Engenharias,,,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Modelo 100% presencial
,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,,,de R$ 8.001/mês a R$ 12.000/mês,de 4 a 5 anos,Modelo híbrido com dias fixos de trabalho presencial
24.0,Masculino,Santa Catarina,SC,Sul,Estudante de Graduação,Outras Engenharias,,,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Modelo híbrido com dias fixos de trabalho presencial
51.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,,,de R$ 12.001/mês a R$ 16.000/mês,Mais de 10 anos,Modelo 100% remoto
39.0,Masculino,Minas Gerais,MG,Sudeste,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,,,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo 100% presencial
27.0,Masculino,São Paulo,SP,Sudeste,Pós-graduação,Outras Engenharias,,,de R$ 4.001/mês a R$ 6.000/mês,de 1 a 2 anos,Modelo 100% presencial
